"speakerOptimality,wonkinessPrior,linkingBetaConcentration,softmaxWonky",posteriorProb
"1.85,0.81,3,4.26",0
"1.85,0.81,2.6666666666666665,4.26",0
"1.85,0.81,2.3333333333333335,4.26",0
"1.85,0.81,2,4.26",0
"1.85,0.81,1.6666666666666667,4.26",0
"1.85,0.81,1.3333333333333333,4.26",0
"1.85,0.81,1,4.26",0
"1.85,0.81,0.6666666666666666,4.26",0
"1.85,0.81,0.3333333333333333,4.26",0
"1.85,0.81,6.333333333333333,4.51",0
"1.85,0.81,6,4.51",0
"1.85,0.81,5.666666666666667,4.51",0
"1.85,0.81,5.333333333333333,4.51",0
"1.85,0.81,5,4.51",0
"1.85,0.81,4.666666666666667,4.51",0
"1.85,0.81,4.333333333333333,4.51",0
"1.85,0.81,4,4.51",0
"1.85,0.81,3.6666666666666665,4.51",0
"1.85,0.81,3.3333333333333335,4.51",0
"1.85,0.81,3,4.51",0
"1.85,0.81,2.6666666666666665,4.51",0
"1.85,0.81,2.3333333333333335,4.51",0
"1.85,0.81,2,4.51",0
"1.85,0.81,1.6666666666666667,4.51",0
"1.85,0.81,1.3333333333333333,4.51",0
"1.85,0.81,1,4.51",0
"1.85,0.81,0.6666666666666666,4.51",0
"1.85,0.81,0.3333333333333333,4.51",0
"0.1,0.61,6.333333333333333,3.26",0
"0.1,0.61,6,3.26",0
"0.1,0.61,5.666666666666667,3.26",0
"0.1,0.61,5.333333333333333,3.26",0
"0.1,0.61,5,3.26",0
"0.1,0.61,4.666666666666667,3.26",0
"0.1,0.61,4.333333333333333,3.26",0
"0.1,0.61,4,3.26",0
"0.1,0.61,3.6666666666666665,3.26",0
"0.1,0.61,3.3333333333333335,3.26",0
"0.1,0.61,3,3.26",0
"0.1,0.61,2.6666666666666665,3.26",0
"0.1,0.61,2.3333333333333335,3.26",0
"0.1,0.61,2,3.26",0
"0.1,0.61,1.6666666666666667,3.26",0
"0.1,0.61,1.3333333333333333,3.26",0
"0.1,0.61,1,3.26",0
"0.1,0.61,0.6666666666666666,3.26",0
"0.1,0.61,0.3333333333333333,3.26",0
"1.85,0.71,6.333333333333333,0.01",0
"1.85,0.71,6,0.01",0
"1.85,0.71,5.666666666666667,0.01",0
"1.85,0.71,5.333333333333333,0.01",0
"1.85,0.71,5,0.01",0
"1.85,0.71,4.666666666666667,0.01",0
"1.85,0.71,4.333333333333333,0.01",0
"1.85,0.71,4,0.01",0
"1.85,0.71,3.6666666666666665,0.01",0
"1.85,0.71,3.3333333333333335,0.01",0
"1.85,0.71,3,0.01",0
"1.85,0.71,2.6666666666666665,0.01",0
"1.85,0.71,2.3333333333333335,0.01",1.4951779771565532e-233
"1.85,0.71,2,0.01",6.622871375878677e-150
"1.85,0.71,1.6666666666666667,0.01",1.8301641533929455e-125
"1.85,0.71,1.3333333333333333,0.01",1.8541860823016915e-186
"1.85,0.71,1,0.01",0
"1.85,0.71,0.6666666666666666,0.01",0
"1.85,0.71,0.3333333333333333,0.01",0
"2.35,0.51,6.333333333333333,4.76",0
"2.35,0.51,6,4.76",0
"2.35,0.51,5.666666666666667,4.76",0
"2.35,0.51,5.333333333333333,4.76",0
"2.35,0.51,5,4.76",0
"2.35,0.51,4.666666666666667,4.76",0
"2.35,0.51,4.333333333333333,4.76",0
"2.35,0.51,4,4.76",0
"2.35,0.51,3.6666666666666665,4.76",0
"2.35,0.51,3.3333333333333335,4.76",0
"2.35,0.51,3,4.76",0
"2.35,0.51,2.6666666666666665,4.76",0
"2.35,0.51,2.3333333333333335,4.76",0
"2.35,0.51,2,4.76",0
"2.35,0.51,1.6666666666666667,4.76",0
"2.35,0.51,1.3333333333333333,4.76",0
"2.35,0.51,1,4.76",0
"2.35,0.51,0.6666666666666666,4.76",0
"2.35,0.51,0.3333333333333333,4.76",0
"1.85,0.71,6.333333333333333,0.26",0
"1.85,0.71,6,0.26",0
"1.85,0.71,5.666666666666667,0.26",0
"1.85,0.71,5.333333333333333,0.26",0
"1.85,0.71,5,0.26",0
"1.85,0.71,4.666666666666667,0.26",0
"1.85,0.71,4.333333333333333,0.26",0
"1.85,0.71,4,0.26",0
"1.85,0.71,3.6666666666666665,0.26",0
"1.85,0.71,3.3333333333333335,0.26",0
"1.85,0.71,3,0.26",0
"1.85,0.71,2.6666666666666665,0.26",0
"1.85,0.71,2.3333333333333335,0.26",0
"1.85,0.71,2,0.26",1.2418875703042686e-305
"1.85,0.71,1.6666666666666667,0.26",4.356813505253042e-289
"1.85,0.71,1.3333333333333333,0.26",0
"1.85,0.71,1,0.26",0
"1.85,0.71,0.6666666666666666,0.26",0
"1.85,0.71,0.3333333333333333,0.26",0
"0.1,0.61,6.333333333333333,3.51",0
"0.1,0.61,6,3.51",0
"0.1,0.61,5.666666666666667,3.51",0
"0.1,0.61,5.333333333333333,3.51",0
"0.1,0.61,5,3.51",0
"0.1,0.61,4.666666666666667,3.51",0
"0.1,0.61,4.333333333333333,3.51",0
"0.1,0.61,4,3.51",0
"0.1,0.61,3.6666666666666665,3.51",0
"0.1,0.61,3.3333333333333335,3.51",0
"0.1,0.61,3,3.51",0
"0.1,0.61,2.6666666666666665,3.51",0
"0.1,0.61,2.3333333333333335,3.51",0
"0.1,0.61,2,3.51",0
"0.1,0.61,1.6666666666666667,3.51",0
"0.1,0.61,1.3333333333333333,3.51",0
"0.1,0.61,1,3.51",0
"0.1,0.61,0.6666666666666666,3.51",0
"0.1,0.61,0.3333333333333333,3.51",0
"4.85,0.41000000000000003,6.333333333333333,2.76",0
"4.85,0.41000000000000003,6,2.76",0
"4.85,0.41000000000000003,5.666666666666667,2.76",0
"4.85,0.41000000000000003,5.333333333333333,2.76",0
"4.85,0.41000000000000003,5,2.76",0
"4.85,0.41000000000000003,4.666666666666667,2.76",0
"4.85,0.41000000000000003,4.333333333333333,2.76",0
"4.85,0.41000000000000003,4,2.76",0
"4.85,0.41000000000000003,3.6666666666666665,2.76",0
"4.85,0.41000000000000003,3.3333333333333335,2.76",0
"4.85,0.41000000000000003,3,2.76",0
"4.85,0.41000000000000003,2.6666666666666665,2.76",0
"4.85,0.41000000000000003,2.3333333333333335,2.76",0
"4.85,0.41000000000000003,2,2.76",0
"4.85,0.41000000000000003,1.6666666666666667,2.76",0
"4.85,0.41000000000000003,1.3333333333333333,2.76",0
"4.85,0.41000000000000003,1,2.76",0
"4.85,0.41000000000000003,0.6666666666666666,2.76",0
"4.85,0.41000000000000003,0.3333333333333333,2.76",0
"4.85,0.71,6.333333333333333,0.01",0
"4.85,0.71,6,0.01",0
"4.85,0.71,5.666666666666667,0.01",0
"4.85,0.71,5.333333333333333,0.01",0
"4.85,0.71,5,0.01",0
"4.85,0.71,4.666666666666667,0.01",0
"4.85,0.71,4.333333333333333,0.01",0
"4.85,0.71,4,0.01",0
"4.85,0.71,3.6666666666666665,0.01",0
"4.85,0.71,3.3333333333333335,0.01",0
"4.85,0.71,3,0.01",0
"4.85,0.71,2.6666666666666665,0.01",0
"4.85,0.71,2.3333333333333335,0.01",0
"4.85,0.71,2,0.01",5.525880007260524e-237
"4.85,0.71,1.6666666666666667,0.01",7.354000900675854e-208
"4.85,0.71,1.3333333333333333,0.01",3.661727872840929e-264
"4.85,0.71,1,0.01",0
"4.85,0.71,0.6666666666666666,0.01",0
"4.85,0.71,0.3333333333333333,0.01",0
"1.85,0.71,6.333333333333333,0.51",0
"1.85,0.71,6,0.51",0
"1.85,0.71,5.666666666666667,0.51",0
"1.85,0.71,5.333333333333333,0.51",0
"1.85,0.71,5,0.51",0
"1.85,0.71,4.666666666666667,0.51",0
"1.85,0.71,4.333333333333333,0.51",0
"1.85,0.71,4,0.51",0
"1.85,0.71,3.6666666666666665,0.51",0
"1.85,0.71,3.3333333333333335,0.51",0
